year,ph_gini,br_gini,ru_gini,in_gini,ch_gini,sa_gini,ph_gdp,br_gdp,ru_gdp,in_gdp,ch_gdp,sa_gdp,ph_to,br_to,ru_to,in_to,ch_to,sa_to,ph_fdi,br_fdi,ru_fdi,in_fdi,ch_fdi,sa_fdi,ph_fpi,br_fpi,ru_fpi,in_fpi,ch_fpi,sa_fpi,ph_cap,br_cap,ru_cap,in_cap,ch_cap,sa_cap,ph_etg,br_etg,ru_etg,in_etg,ch_etg,sa_etg,ph_itg,br_itg,ru_itg,in_itg,ch_itg,sa_itg
1995,0.31822972,0.50568182,0.23695652,0.03611111,0.06385069,0,0.04494932,0.12642902,0.09763379,0,0,0.13864387,0.2244898,0.08333333,0,0,0.21212121,0,0.5513308,0,0.005,0.03809524,1,0.09913043,0.38276182,0.79355824,0.56252916,0.68452945,0.54119987,0.50515768,0.05417178,0.18559183,0.09096418,0,0,0.22380209,0.04531508,0.04051087,0,0.05230063,0.15624922,0,0.38980485,0.06211871,0.20339305,0,0.2854018,0.01003985
1996,0.30979979,0.49431818,1,0,0,0.50837139,0.08878727,0.16044289,0.09409297,0.01098645,0.01251321,0.11306823,0.28571429,0,0.18181818,0.04166667,0.09090909,0.11111111,0.4904943,0.15681818,0.04,0.04761905,0.91449814,0.05565217,0,0.63973344,0.48261783,0.63965158,0.53490222,0.50633658,0.10531102,0.22586012,0.08947537,0.02132049,0.01337306,0.17788806,0.07953799,0,0.1131605,0.07781461,0,0.17389786,0.49010418,0,0.43862853,0.02126113,0.16092379,0.0565294
1997,0.62170706,0.47159091,0.53043478,0.04305556,0.00294695,0.27929985,0.0862631,0.17559887,0.10025664,0.02940156,0.02198568,0.13067797,0.51020408,0.08333333,0.13636364,0,0.09090909,0.14814815,0.35741445,0.36136364,0.175,0.12380952,0.89591078,0.39478261,0.43836886,0.78925448,0,0.66616171,0.50043089,0.38137342,0.08834871,0.23693522,0.09585587,0.03396893,0.0230694,0.18773983,0.26688386,0.04441791,0.0417341,0.05098498,0.08586647,0.22146967,0.68391111,0.14356418,0.49549348,0.02461057,0.07563966,0.12614338
1998,0.57323498,0.40340909,0.21956522,0.07013889,0.01277014,0.06773212,0,0.16243569,0.03599333,0.03089074,0.028516,0.08037047,0.79591837,0.08333333,0.59090909,0,0,0.11111111,1,0.69545455,0.13,0.05079365,0.76579926,0.02956522,0.57924004,0.67319173,0.40772282,0.72599886,0.57116341,0.45210728,0.00490758,0.2180152,0.03434798,0.03216434,0.0293481,0.11688768,0.76733366,0.04190519,0.34543889,0,0.02059169,0.1097405,0.73226442,0.09807387,1,0.0429389,0,0.10247185
1999,0.91780822,0.88522727,0.38043478,0.08263889,0.11198428,0.17732116,0.04891143,0.03899066,0,0.04638405,0.03480271,0.07651739,0.7755102,0.41666667,1,0.04166667,0.06060606,0.03703704,0.36501901,0.94090909,0.2975,0,0.50185874,0.15130435,0.18535681,0.87616271,0.5289314,0.67070631,0.62088167,0.32242853,0.06764846,0.06280104,0,0.05552403,0.0353413,0.10368994,0.89127989,0.27900399,0.90526321,0.0005346,0.01865799,0.1484844,0.56764452,0.49590244,0.82929472,0.05846802,0.09976439,0
2000,0.28451001,0,0.5423913,0.10277778,0.28683694,0.28767123,0.03998289,0.06669275,0.03060459,0.05432852,0.04616038,0.07545742,0.97959184,0.41666667,0.95454545,0.08333333,0.24242424,0.22222222,0.49429658,1,0.1325,0.0952381,0.4795539,0.08347826,0.54402224,0.8322921,0.67953803,0.67013823,0.57288697,0.63336281,0.04249236,0.08885616,0.03003729,0.05657594,0.04688158,0.09455408,1,0.32060832,1,0.14460512,0.17409755,0.3785638,0.81041317,0.56397226,0.4257113,0.09808028,0.3243934,0.13643041
2001,1,1,0.64565217,0.16805556,0.38113949,1,0.01838472,0.02315293,0.05309874,0.06269708,0.058558,0.02556533,0.87755102,0.75,0.63636364,0.08333333,0.21212121,0.37037037,0.17490494,0.8,0.1075,0.18730159,0.49070632,1,0.39759036,0.92780786,0.54223052,0.66067033,0.67510772,0.82316534,0,0.03162991,0.05243801,0.06328087,0.05944744,0.02909371,0.82017662,0.54103749,0.63588492,0.13476217,0.13427357,0.573716,0.81389787,0.91529832,0.46195872,0.0628275,0.29860729,0.224966
2002,0.9662803,0.95227273,0.50543478,0.23611111,0.65422397,0.89117199,0.04148728,0,0.07174203,0.07481364,0.07125437,0,1,0.83333333,0.54545455,0.125,0.33333333,0.51851852,0.61977186,0.6,0.1275,0.17142857,0.52788104,0.1826087,0.42354032,1,0.49953336,0.69532286,0.61498177,0.59092249,0.02227284,0,0.07132412,0.07906716,0.07223642,0,0.86173538,0.70072766,0.52631014,0.22844168,0.2625996,0.76228769,0.99123691,0.74221481,0.47747132,0.10892439,0.42254498,0.37309048
2003,0.14752371,0.88863636,0.5576087,0.30555556,0.7367387,0.93150685,0.05305067,0.02228573,0.11298933,0.12243752,0.08962022,0.19791771,1,0.83333333,0.59090909,0.20833333,0.60606061,0.22222222,0.01901141,0.26818182,0.335,0.04444444,0.48327138,0.03826087,0.44114921,0.85519922,0.58667755,0.55898504,0.47059993,0.5573239,0.02773079,0.02318733,0.11204246,0.14072051,0.09102238,0.22097282,0.85815838,0.84729502,0.54875455,0.25473826,0.50264492,0.29818383,1,0.5921471,0.4751626,0.17437946,0.73686747,0.21231652
2004,0.14963119,0.89090909,0.4826087,0.37569444,0.76620825,0.87366819,0.08688649,0.07473846,0.19021711,0.19086772,0.11818375,0.37530386,1,1,0.5,0.29166667,0.84848485,0.25925926,0.0418251,0.475,0.5275,0.0952381,0.4795539,0.01391304,0.65152919,0.99486325,0.5269482,0.54345768,0.41557839,0.39109932,0.0633799,0.07763968,0.1888491,0.20669231,0.12051808,0.41474439,0.86739401,1,0.51939012,0.34437393,0.72548562,0.23814093,0.98928458,0.79535845,0.30944681,0.27615436,0.98900146,0.25609522
