year,ph_gini,br_gini,ru_gini,in_gini,ch_gini,sa_gini,ph_gdp,br_gdp,ru_gdp,in_gdp,ch_gdp,sa_gdp,ph_to,br_to,ru_to,in_to,ch_to,sa_to,ph_fdi,br_fdi,ru_fdi,in_fdi,ch_fdi,sa_fdi,ph_fpi,br_fpi,ru_fpi,in_fpi,ch_fpi,sa_fpi,ph_cap,br_cap,ru_cap,in_cap,ch_cap,sa_cap,ph_etg,br_etg,ru_etg,in_etg,ch_etg,sa_etg,ph_itg,br_itg,ru_itg,in_itg,ch_itg,sa_itg
1995,0.4312,0.599,0.5671,0.4649,0.4641,0.5402,82121.27,778052.8,402316.5,362876.7,734485,157434,0.56,0.13,0.36,0.18,0.38,0.37,1.99,0.63,0.52,0.59,4.88,0.8,-1.19,-9.75,2.44,-1.59,-0.79,-2.49,1061.347868,4740.119813,2665.780963,375.1050651,609.6566792,3693.681705,0.2131214,0.05977268,0.2048611,0.08440884,0.2025637,0.17691858,0.34510548,0.06958062,0.15560634,0.09564378,0.17982532,0.19402416
1996,0.4304,0.598,0.6373,0.4597,0.4576,0.607,91790.47,849622.3,394881.4,382461.8,863749,149744.2,0.59,0.12,0.4,0.19,0.34,0.4,1.83,1.32,0.66,0.62,4.65,0.55,-5.32,-20.83,-4.41,-3.96,-1.74,-2.45,1159.589292,5156.809075,2643.930749,401.3686651,709.4137551,3440.864223,0.22232809,0.05619756,0.22711883,0.08655793,0.17487488,0.19513944,0.37178369,0.06706627,0.17243658,0.0992052,0.16086039,0.20155706
1997,0.46,0.596,0.5941,0.4659,0.4579,0.5769,91233.72,881512.4,407824,415289.7,961601.5,155038.9,0.7,0.13,0.39,0.18,0.34,0.41,1.48,2.22,1.2,0.86,4.6,2.5,-0.59,-10.06,-45.78,-2.56,-6.94,-6.69,1127.003716,5271.412222,2737.573023,416.9496155,781.7441643,3495.111222,0.27272811,0.06011748,0.21306985,0.08429802,0.19009122,0.20012397,0.42333361,0.07287725,0.17650506,0.09976626,0.14786687,0.21283691
1998,0.4554,0.59,0.5655,0.4698,0.4589,0.5491,72206.94,853815.4,272882.5,417944.4,1029061,139913,0.84,0.13,0.49,0.18,0.31,0.4,3.17,3.69,1.02,0.63,4.25,0.4,0.93,-18.42,-10.83,0.6,3.73,-4.29,966.7084855,5075.631211,1834.862986,414.726627,828.5804793,3104.97641,0.40735974,0.05989573,0.27280606,0.08000346,0.17852392,0.18841709,0.43619491,0.07103596,0.21260066,0.10283641,0.13634274,0.20900131
1999,0.4881,0.6324,0.5803,0.4716,0.469,0.5635,82995.18,594071.4,197302.9,445563.7,1094004,138754.5,0.83,0.17,0.58,0.19,0.33,0.38,1.5,4.77,1.69,0.47,3.54,1.1,-3.32,-3.8,-0.44,-2.32,11.23,-8.69,1087.237348,3469.502236,1330.760707,443.5022106,873.2870617,3032.305397,0.44070391,0.08081991,0.38291885,0.08004849,0.17818125,0.19247664,0.39240833,0.08713868,0.20038732,0.10543767,0.15154241,0.19239736
2000,0.428,0.5545,0.5952,0.4745,0.4868,0.578,81025.84,652360.1,261567.1,459726,1211331,138435.8,0.93,0.17,0.57,0.2,0.39,0.43,1.84,5.03,1.03,0.77,3.48,0.71,0.55,-6.96,12.47,-2.35,3.99,1.86,1038.911018,3739.116139,1771.59783,444.7980085,959.3724836,2982.000426,0.46995193,0.08449153,0.40155279,0.09218382,0.20572659,0.21658415,0.45698138,0.08989391,0.1715124,0.11207306,0.18576591,0.21450376
2001,0.4959,0.6425,0.6047,0.4839,0.4964,0.6716,76262,560746.8,308800.8,474644.3,1339401,123434.8,0.88,0.21,0.5,0.2,0.38,0.47,1,4.15,0.93,1.06,3.51,5.98,-1.03,-0.08,0.7,-2.85,19.41,8.3,957.2807497,3146.948904,2100.358253,453.0574513,1053.108243,2621.554437,0.42157562,0.1039446,0.32993438,0.09135473,0.19866941,0.23703202,0.45790826,0.10411437,0.17410577,0.10616792,0.18183725,0.22884956
2002,0.4927,0.6383,0.5918,0.4937,0.5242,0.6573,81357.66,512030.1,347948.4,496244,1470557,115748.1,0.94,0.22,0.48,0.21,0.42,0.51,2.17,3.27,1.01,1.01,3.61,1.28,-0.75,5.12,-2.96,-1.02,10.34,0.42,1000.068168,2819.64812,2377.536957,472.5037628,1148.50829,2461.355087,0.43275581,0.1180374,0.30838193,0.09924553,0.22140998,0.25679039,0.50507795,0.09710855,0.17521564,0.11388954,0.20071986,0.2528508
2003,0.415,0.6327,0.5966,0.5037,0.5326,0.6626,83908.16,558922.1,434560.4,581141.2,1660280,175255.8,0.94,0.22,0.49,0.23,0.51,0.43,0.59,1.81,1.84,0.61,3.49,0.45,-0.56,-5.31,4.51,-8.22,-11.44,-0.72,1010.553198,3059.586507,2975.132778,548.4512876,1288.643252,3678.102817,0.43179352,0.1309721,0.31279656,0.10146054,0.26394825,0.20816201,0.50740881,0.09103433,0.17505046,0.12485382,0.24860867,0.22679991
2004,0.4152,0.6329,0.5897,0.5138,0.5356,0.655,91371.22,669289.3,596725,703129,1955347,228590.3,0.94,0.24,0.47,0.25,0.59,0.44,0.65,2.72,2.61,0.77,3.48,0.31,1.71,4.75,-0.61,-9.04,-19.74,-6.36,1079.037182,3623.049912,4102.372294,629.7184995,1508.668098,4745.071685,0.4342781,0.14444845,0.30702082,0.10901072,0.3034377,0.20187077,0.50455866,0.09925962,0.1631941,0.14190198,0.28702271,0.23389356
